ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIPP4,TELEPHONE,TYPE,STATUS,COUNTY,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE_DATE,WEBSITE,ALT_NAME,OWNERSHIP,BEDS,TRAUMA,HELIPAD,GEN_FACILITY_TYPE
15127401,SELECT SPECIALTY HOSPITAL - GREENSBORO,1200 N ELM ST,GREENSBORO,NC,27401,NOT AVAILABLE,(336) 832-5700,GENERAL ACUTE CARE,OPEN,GUILFORD,USA,36.09101799,-79.78604811,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://greensboro.selectspecialtyhospitals.com/,NOT AVAILABLE,PROPRIETARY,30,NOT AVAILABLE,NOT AVAILABLE,HOSPITAL
15027704,SELECT SPECIALTY HOSPITAL - DURHAM,3643 N ROXBORO ST,DURHAM,NC,27704,NOT AVAILABLE,(919) 470-9159,GENERAL ACUTE CARE,OPEN,DURHAM,USA,36.03749791,-78.9006067,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://durham.selectspecialtyhospitals.com/,NOT AVAILABLE,PROPRIETARY,30,NOT AVAILABLE,NOT AVAILABLE,HOSPITAL
14927103,SELECT SPECIALTY HOSPITAL - WINSTON SALEM,3333 SILAS CREEK PKWY,WINSTON SALEM,NC,27103,NOT AVAILABLE,(336) 760-4668,GENERAL ACUTE CARE,OPEN,FORSYTH,USA,36.07472236,-80.29752273,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://winstonsalem.selectspecialtyhospitals.com/,NOT AVAILABLE,PROPRIETARY,42,NOT AVAILABLE,NOT AVAILABLE,HOSPITAL
14828210,CAROLINA CONTINUECARE AT PINEVILLE,10648 PARK RD,CHARLOTTE,NC,28210,NOT AVAILABLE,(704) 667-8050,LONG TERM CARE,OPEN,MECKLENBURG,USA,35.09082721,-80.87122558,622310,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)",2016-01-25T00:00:00.000Z,http://continuecare.org/pineville/,NOT AVAILABLE,NON-PROFIT,40,NOT AVAILABLE,N,HOSPITAL
14728217,CAROLINA CONTINUECARE AT UNIVERSITY,8800 N TRYON ST,CHARLOTTE,NC,28217,NOT AVAILABLE,(704) 863-8300,LONG TERM CARE,OPEN,MECKLENBURG,USA,35.30675743,-80.74772609,622310,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)",2016-01-25T00:00:00.000Z,http://continuecare.org/charlotte/,NOT AVAILABLE,NON-PROFIT,35,NOT AVAILABLE,N,HOSPITAL
14628376,FIRSTHEALTH MOORE REGIONAL HOSPITAL - HOKE CAMPUS,1144 N RD ST,RAEFORD,NC,28376,NOT AVAILABLE,(910) 878-6000,GENERAL ACUTE CARE,OPEN,HOKE,USA,35.02100061,-79.14921866,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,https://www.firsthealth.org/directory/hospitals-and-service-locations/firsthealth-moore-regional-hospital-hoke-campus,NOT AVAILABLE,NON-PROFIT,8,NOT AVAILABLE,Y,HOSPITAL
14528025,CAROLINAS REHABILITATION - NORTHEAST,487 LAKE CONCORD RD,CONCORD,NC,28025,NOT AVAILABLE,(704) 355-3398,REHABILITATION,OPEN,CABARRUS,USA,35.44281606,-80.60084365,622210,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",2016-01-25T00:00:00.000Z,http://www.carolinashealthcare.org/rehabilitation,NOT AVAILABLE,NON-PROFIT,40,NOT AVAILABLE,N,HOSPITAL
14428603,ALEXANDER HOSPITAL,PO BOX 2568,HICKORY,NC,28603,NOT AVAILABLE,(828) 377-4745,GENERAL ACUTE CARE,OPEN,ALEXANDER,USA,35.89837411,-81.17889455,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.fryemedctr.com/en-US/Pages/default.aspx,NOT AVAILABLE,PROPRIETARY,25,NOT AVAILABLE,N,HOSPITAL
14328086,CAROLINAS CONTINUECARE AT KINGS MOUNTAIN,706 W KING ST,KINGS MOUNTAIN,NC,28086,NOT AVAILABLE,(980) 487-5520,LONG TERM CARE,OPEN,CLEVELAND,USA,35.24186511,-81.35654875,622310,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)",2016-01-25T00:00:00.000Z,http://continuecare.org/kings-mountain/,NOT AVAILABLE,NON-PROFIT,28,NOT AVAILABLE,N,HOSPITAL
14228170,CAPE FEAR VALLEY HOKE HOSPITAL,201 MEDICAL PAVILION DR,RAEFORD,NC,28376,NOT AVAILABLE,(910) 615-4000,GENERAL ACUTE CARE,OPEN,HOKE,USA,35.02973391,-79.10759204,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,2016-01-25T00:00:00.000Z,http://www.capefearvalley.com/hospitals/hoke.html,NOT AVAILABLE,NON-PROFIT,41,NOT AVAILABLE,N,HOSPITAL
