X,Y,OBJECTID,ID,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD,DATECREATE
-81.139263827999969,35.272661502000062,4102,0007128053,CAROMONT REGIONAL MEDICAL CENTER,2525 COURT DRIVE,NOT AVAILABLE,GASTONIA,NC,28053,NOT AVAILABLE,(704) 834-2121,GENERAL ACUTE CARE,OPEN,435,GASTON,37071,USA,35.2726615020001,-81.139263828,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www2.ncdhhs.gov/dhsr/data/hllist.pdf,2016-01-25T00:00:00.000Z,IMAGERY WITH OTHER,2014-02-10T00:00:00.000Z,http://www.caromont.org,NOT AVAILABLE,GASTON MEMORIAL HOSPITAL,37,NON-PROFIT,-999,435,LEVEL I,Y,2013-03-22T00:00:00.000Z
-80.824164440999937,35.211838192000073,4103,0002128233,NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER,200 HAWTHORNE LANE,NOT AVAILABLE,CHARLOTTE,NC,28233,NOT AVAILABLE,(704) 384-4000,GENERAL ACUTE CARE,OPEN,661,MECKLENBURG,37119,USA,35.2118381920001,-80.8241644409999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www2.ncdhhs.gov/dhsr/data/hllist.pdf,2016-01-25T00:00:00.000Z,IMAGERY WITH OTHER,2014-02-10T00:00:00.000Z,https://www.novanthealth.org/presbyterian-medical-center.aspx,NOT AVAILABLE,PRESBYTERIAN MEDICAL CENTER,37,NON-PROFIT,-999,661,NOT AVAILABLE,Y,2013-03-22T00:00:00.000Z
-80.860260894999968,35.40644418200003,4104,0002228078,NOVANT HEALTH HUNTERSVILLE MEDICAL CENTER,10030 GILEAD ROAD,NOT AVAILABLE,HUNTERSVILLE,NC,28078,NOT AVAILABLE,(704) 316-4010,GENERAL ACUTE CARE,OPEN,91,MECKLENBURG,37119,USA,35.406444182,-80.860260895,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www2.ncdhhs.gov/dhsr/data/hllist.pdf,2016-01-25T00:00:00.000Z,IMAGERY WITH OTHER,2014-02-10T00:00:00.000Z,https://www.novanthealth.org/huntersville-medical-center.aspx,NOT AVAILABLE,HUNTERSVILLE MEDICAL CENTER,37,NON-PROFIT,-999,91,NOT AVAILABLE,Y,2013-03-22T00:00:00.000Z
-80.714078412999982,35.119984808000019,4105,0002328106,NOVANT HEALTH MATTHEWS MEDICAL CENTER,1500 MATTHEWS TOWNSHIP PARKWAY,NOT AVAILABLE,MATTHEWS,NC,28106,NOT AVAILABLE,(704) 384-6370,GENERAL ACUTE CARE,OPEN,146,MECKLENBURG,37119,USA,35.119984808,-80.714078413,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www2.ncdhhs.gov/dhsr/data/hllist.pdf,2016-01-25T00:00:00.000Z,IMAGERY WITH OTHER,2014-02-10T00:00:00.000Z,https://www.novanthealth.org/matthews-medical-center.aspx,NOT AVAILABLE,MATTHEWS MEDICAL CENTER,37,NON-PROFIT,-999,146,NOT AVAILABLE,Y,2013-03-22T00:00:00.000Z
-80.823521515999971,35.210797601000024,4106,0009228207,NOVANT HOSPITAL CHARLOTTE ORTHOPEDIC HOSPITAL,1901 RANDOLPH RD,NOT AVAILABLE,CHARLOTTE,NC,28207,NOT AVAILABLE,(704) 316-2000,GENERAL ACUTE CARE,OPEN,80,MECKLENBURG,37119,USA,35.210797601,-80.823521516,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www2.ncdhhs.gov/dhsr/data/hllist.pdf,2016-01-25T00:00:00.000Z,IMAGERY WITH OTHER,2014-02-10T00:00:00.000Z,https://www.novanthealth.org/charlotte-orthopedic-hospital.aspx,NOT AVAILABLE,CHARLOTTE ORTHOPEDIC HOSPITAL,37,NON-PROFIT,-999,80,NOT AVAILABLE,NOT AVAILABLE,2013-03-22T00:00:00.000Z
-80.470707937999975,35.681269842000056,4107,0009728144,NOVANT HEALTH ROWAN MEDICAL CENTER,612 MOCKSVILLE AVE,NOT AVAILABLE,SALISBURY,NC,28144,NOT AVAILABLE,(704) 210-5000,GENERAL ACUTE CARE,OPEN,268,ROWAN,37159,USA,35.6812698420001,-80.470707938,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www2.ncdhhs.gov/dhsr/data/hllist.pdf,2016-01-25T00:00:00.000Z,IMAGERY WITH OTHER,2014-02-10T00:00:00.000Z,https://www.novanthealth.org/rowan-medical-center.aspx,NOT AVAILABLE,ROWAN REGIONAL MEDICAL CENTER,37,NON-PROFIT,-999,268,NOT AVAILABLE,NOT AVAILABLE,2013-03-22T00:00:00.000Z
-76.928249488999938,35.988647545000049,4108,0003227983,VIDANT BERTIE HOSPITAL,1403 SOUTH KING STREET,NOT AVAILABLE,WINDSOR,NC,27983,NOT AVAILABLE,(252) 794-6600,GENERAL ACUTE CARE,OPEN,6,BERTIE,37015,USA,35.988647545,-76.9282494889999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www2.ncdhhs.gov/dhsr/data/hllist.pdf,2016-01-25T00:00:00.000Z,IMAGERY WITH OTHER,2014-02-10T00:00:00.000Z,https://www.vidanthealth.com/bertie/dynamic-detail.aspx?id=381,NOT AVAILABLE,BERTIE MEMORIAL HOSPITAL,37,NON-PROFIT,-999,6,NOT AVAILABLE,Y,2013-03-22T00:00:00.000Z
-78.60800448699996,34.622433926000035,4109,0003428337,CAPE FEAR VALLEY - BLADEN COUNTY HOSPITAL,501 SOUTH POPLAR STREET,NOT AVAILABLE,ELIZABETHTOWN,NC,28337,NOT AVAILABLE,(910) 862-5179,GENERAL ACUTE CARE,OPEN,58,BLADEN,37017,USA,34.622433926,-78.608004487,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www2.ncdhhs.gov/dhsr/data/hllist.pdf,2016-01-25T00:00:00.000Z,IMAGERY WITH OTHER,2014-02-10T00:00:00.000Z,http://www.capefearvalley.com/bladen/home.html,NOT AVAILABLE,BLADEN COUNTY HOSPITAL,37,NON-PROFIT,-999,58,NOT AVAILABLE,Y,2013-03-22T00:00:00.000Z
-77.037838048999959,35.549221908000028,4110,0003127889,VIDANT BEAUFORT HOSPITAL,628 EAST TWELFTH ST,NOT AVAILABLE,WASHINGTON,NC,27889,NOT AVAILABLE,(252) 975-4100,GENERAL ACUTE CARE,OPEN,142,BEAUFORT,37013,USA,35.5492219080001,-77.037838049,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www2.ncdhhs.gov/dhsr/data/hllist.pdf,2016-01-25T00:00:00.000Z,IMAGERY WITH OTHER,2013-10-01T00:00:00.000Z,https://www.vidanthealth.com/beaufort/,NOT AVAILABLE,BEAUFORT COUNTY HOSPITAL,37,NON-PROFIT,-999,142,NOT AVAILABLE,NOT AVAILABLE,2013-03-22T00:00:00.000Z
-81.523419917999945,35.748123859000017,4111,0011228690,"VALDESE GENERAL HOSPITAL, INC.",720 MALCOLM BOULEVARD,NOT AVAILABLE,VALDESE,NC,28690,NOT AVAILABLE,(828) 874-2251,GENERAL ACUTE CARE,CLOSED,131,BURKE,37023,USA,35.748123859,-81.5234199179999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www2.ncdhhs.gov/dhsr/data/hllist.pdf,2012-07-03T00:00:00.000Z,IMAGERY WITH OTHER,2014-02-10T00:00:00.000Z,http://www.blueridgehealth.org,NOT AVAILABLE,CAROLINAS HEALTHCARE SYSTEM BLUE RIDGE VALDESE,37,NON-PROFIT,-999,131,NOT AVAILABLE,Y,2013-03-22T00:00:00.000Z
