X,Y,OBJECTID,ID,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,TOT_RES,TOT_STAFF,BEDS,EXCESS_BED,OWNERSHIP,MEDICAIDID,MEDICAREID,STATE_LIC,SOURCETYPE
-78.07623874362308,34.993762395218418,15440,37379,WARSAW HEALTH & REHABILITATION CENTER,214 LANEFIELD ROAD,NOT AVAILABLE,WARSAW,NC,28398,9510,(910) 293-3144,NURSING HOME,OPEN,100,DUPLIN,37061,USA,34.9937623952184,-78.0762387436231,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www2.ncdhhs.gov/dhsr/data/nhlist_a.pdf,2015-10-01T00:00:00.000Z,IMAGERY WITH OTHER,2016-06-07T00:00:00.000Z,NOT AVAILABLE,-999,-999,100,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NH0418,NURSING FACILITY
-83.84214640992883,35.193315527089965,15441,37374,VALLEY VIEW CARE AND REHABILITATION CENTER,551 KENT STREET,NOT AVAILABLE,ANDREWS,NC,28901,8088,(828) 321-3075,NURSING HOME,OPEN,76,CHEROKEE,37039,USA,35.19331552709,-83.8421464099288,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www2.ncdhhs.gov/dhsr/data/nhlist_a.pdf,2015-10-01T00:00:00.000Z,IMAGERY WITH OTHER,2016-06-07T00:00:00.000Z,NOT AVAILABLE,-999,-999,76,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NH0535,NURSING FACILITY
-80.37113028313604,36.268272710017584,15443,37375,VILLAGE CARE OF KING,"440 INGRAM ROAD;",NOT AVAILABLE,KING,NC,27021,1750,(336) 983-4900,NURSING HOME,OPEN,116,STOKES,37169,USA,36.2682727100176,-80.371130283136,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www2.ncdhhs.gov/dhsr/data/nhlist_a.pdf,2015-10-01T00:00:00.000Z,IMAGERY WITH OTHER,2016-06-07T00:00:00.000Z,NOT AVAILABLE,-999,-999,116,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NH0507,NURSING FACILITY
-77.540657481557503,35.900565153159334,15445,37325,TARBORO NURSING CENTER,NOT AVAILABLE,NOT AVAILABLE,TARBORO,NC,27886,NOT AVAILABLE,(252) 823-2041,NURSING HOME,OPEN,118,EDGECOMBE,37065,USA,35.9005651531593,-77.5406574815575,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www2.ncdhhs.gov/dhsr/data/nhlist_a.pdf,2015-10-01T00:00:00.000Z,IMAGERY WITH OTHER,2016-06-06T00:00:00.000Z,NOT AVAILABLE,-999,-999,118,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NH0327,NURSING FACILITY
-79.095161589935401,35.793604172294742,15446,37326,THE ARBOR,3000 GALLOWAY RIDGE ROAD,NOT AVAILABLE,PITTSBORO,NC,27312,8639,(919) 545-2660,NURSING HOME,OPEN,91,CHATHAM,37037,USA,35.7936041722947,-79.0951615899354,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www2.ncdhhs.gov/dhsr/data/nhlist_a.pdf,2015-10-01T00:00:00.000Z,IMAGERY WITH OTHER,2016-06-06T00:00:00.000Z,NOT AVAILABLE,-999,-999,91,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NH0619,NURSING FACILITY
-79.005716612831407,35.906689425676525,15447,37327,THE CEDARS OF CHAPEL HILL,100 CEDAR CLUB CIRCLE,NOT AVAILABLE,CHAPEL HILL,NC,27517,NOT AVAILABLE,(919) 259-7903,NURSING HOME,OPEN,48,DURHAM,37063,USA,35.9066894256765,-79.0057166128314,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www2.ncdhhs.gov/dhsr/data/nhlist_a.pdf,2015-10-01T00:00:00.000Z,IMAGERY WITH OTHER,2016-06-06T00:00:00.000Z,NOT AVAILABLE,-999,-999,48,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NH0615,NURSING FACILITY
-78.9488858851754,35.973383946312133,15448,37328,THE FOREST AT DUKE,2701 PICKETT ROAD,NOT AVAILABLE,DURHAM,NC,27705,5610,(919) 490-8000,NURSING HOME,OPEN,92,DURHAM,37063,USA,35.9733839463121,-78.9488858851754,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www2.ncdhhs.gov/dhsr/data/nhlist_a.pdf,2015-10-01T00:00:00.000Z,IMAGERY WITH OTHER,2016-06-06T00:00:00.000Z,NOT AVAILABLE,-999,-999,92,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NH0536,NURSING FACILITY
-77.534704520896867,35.894924231168375,15449,37329,THE FOUNTAINS AT THE ALBEMARLE,200 TRADE STREET,NOT AVAILABLE,TARBORO,NC,27886,5029,(252) 823-2799,NURSING HOME,OPEN,86,EDGECOMBE,37065,USA,35.8949242311684,-77.5347045208969,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www2.ncdhhs.gov/dhsr/data/nhlist_a.pdf,2015-10-01T00:00:00.000Z,IMAGERY WITH OTHER,2016-06-06T00:00:00.000Z,NOT AVAILABLE,-999,-999,86,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NH0352,NURSING FACILITY
-80.67217265164652,35.383111111888347,15479,37330,THE GARDENS OF TAYLOR GLEN RETIREMENT COMMUNITY,3700 TAYLOR GLEN LANE,NOT AVAILABLE,CONCORD,NC,28027,NOT AVAILABLE,(704) 788-6510,NURSING HOME,OPEN,48,CABARRUS,37025,USA,35.3831111118884,-80.6721726516465,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www2.ncdhhs.gov/dhsr/data/nhlist_a.pdf,2015-10-01T00:00:00.000Z,IMAGERY WITH OTHER,2016-06-06T00:00:00.000Z,NOT AVAILABLE,-999,-999,48,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NH0607,NURSING FACILITY
-79.944188706143862,35.882396282962134,15607,37331,THE GRAYBRIER NURSING AND RETIREMENT CENTER,116 LANE DRIVE,NOT AVAILABLE,TRINITY,NC,27370,9343,(336) 431-8888,NURSING HOME,OPEN,128,RANDOLPH,37151,USA,35.8823962829621,-79.9441887061438,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www2.ncdhhs.gov/dhsr/data/nhlist_a.pdf,2015-10-01T00:00:00.000Z,IMAGERY WITH OTHER,2016-06-06T00:00:00.000Z,NOT AVAILABLE,-999,-999,128,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NH0489,NURSING FACILITY
-79.162695750008822,35.7184051956433,15749,37332,THE LAURELS OF CHATHAM,72 CHATHAM BUSINESS PARK,NOT AVAILABLE,PITTSBORO,NC,27312,9726,(919) 542-6677,NURSING HOME,OPEN,140,CHATHAM,37037,USA,35.7184051956433,-79.1626957500088,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www2.ncdhhs.gov/dhsr/data/nhlist_a.pdf,2015-10-01T00:00:00.000Z,IMAGERY WITH OTHER,2016-06-06T00:00:00.000Z,NOT AVAILABLE,-999,-999,140,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NH0523,NURSING FACILITY
-82.456678756419421,35.343004423415422,15821,37335,THE LAURELS OF HENDERSONVILLE,290 CLEAR CREEK ROAD,NOT AVAILABLE,HENDERSONVILLE,NC,28792,2438,(828) 692-6000,NURSING HOME,OPEN,120,HENDERSON,37089,USA,35.3430044234154,-82.4566787564194,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www2.ncdhhs.gov/dhsr/data/nhlist_a.pdf,2015-10-01T00:00:00.000Z,IMAGERY WITH OTHER,2016-06-06T00:00:00.000Z,NOT AVAILABLE,-999,-999,120,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NH0480,NURSING FACILITY
-78.625464392967345,35.705474586782827,15921,37333,THE LAURELS OF FOREST GLENN,1101 HARTWELL STREET,NOT AVAILABLE,GARNER,NC,27529,0509,(919) 772-8888,NURSING HOME,OPEN,140,WAKE,37183,USA,35.7054745867828,-78.6254643929673,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www2.ncdhhs.gov/dhsr/data/nhlist_a.pdf,2015-10-01T00:00:00.000Z,IMAGERY WITH OTHER,2016-06-06T00:00:00.000Z,NOT AVAILABLE,-999,-999,140,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NH0506,NURSING FACILITY
-82.529789785170408,35.559532175269737,16035,37334,THE LAURELS OF GREENTREE RIDGE,70 SWEETEN CREEK ROAD,NOT AVAILABLE,ASHEVILLE,NC,28803,NOT AVAILABLE,(828) 274-7646,NURSING HOME,OPEN,100,BUNCOMBE,37021,USA,35.5595321752697,-82.5297897851704,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www2.ncdhhs.gov/dhsr/data/nhlist_a.pdf,2015-10-01T00:00:00.000Z,IMAGERY WITH OTHER,2016-06-06T00:00:00.000Z,NOT AVAILABLE,-999,-999,100,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NH0463,NURSING FACILITY
