FID,ID,SECCLASS,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,WEBSITE,NPI,ENT_TYPE,ORGAN_NAME,PROVID_11,PROVID_12,PROVID_20,PROVID_21,PROVID_22,PROVID_23,PROVID_24,PROVID_25,PROVID_26,PROVID_27,PROVID_36,LASTUP_37,HEALTH_47,PROVID_48,PROVID_49,HEALTH_51,PROVID_52,PROVID_53,HEALTH_55,PROVID_56,PROVID_57,HEALTH_59,PROVID_60,PROVID_61,HEALTH_63,PROVID_64,PROVID_65,HEALTH_67,PROVID_68,PROVID_69,HEALTH_71,PROVID_72,PROVID_73,HEALTH_75,PROVID_76,PROVID_77,HEALTH_79,PROVID_80,PROVID_81,HEALTH_83,PROVID_84,PROVID_85,HEALTH_87,PROVID_88,PROVID_89,HEALTH_91,PROVID_92,PROVID_93,HEALTH_95,PROVID_96,PROVID_97,HEALTH_99,PROVID_100,PROVID_101,HEALTH_103,PROVID_104,PROVID_105
27137,11678770,UNCLASSIFIED,KERR DRUG,828-837-5512,2044 UNITED STATES HIGHWAY 19, ,MURPHY,NC,28906, ,CHEROKEE,37039, , , , ,2010-06-01T00:00:00.000Z,ALT REF,2010-06-01T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,102110587,-84.008152,35.1063223,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.KERRDRUG.COM,1730299439,2,KERR DRUG INC A DELAWARE COMPANY,KERR DRUG 117,3,2044 US 19, ,MURPHY,NC,289065106,US, , ,08/30/2006,07/08/2007,333600000X,6914,NC,3336C0003X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
27147,11654278,UNCLASSIFIED,HIGHLANDS-CASHIERS HOSPITAL PHARMACY,828-526-1463,190 HOSPITAL DRIVE, ,HIGHLANDS,NC,28741,7600,MACON,37113, , , , ,2010-06-09T00:00:00.000Z,ALT REF,2010-06-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,707662062,-83.1859473,35.0865084,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.HCHOSPITAL.ORG,1780620294,2,HIGHLANDS-CASHIERS HOSP INC, , ,PO BOX 190, ,HIGHLANDS,NC,287410190,US, , ,06/22/2006,07/08/2007,333600000X,2368,NC,3336I0012X, , ,3336L0003X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
27430,11707130,UNCLASSIFIED,HAYESVILLE PHARMACY,828-389-6900,808 NC HIGHWAY 69, ,HAYESVILLE,NC,28904, ,CLAY,37043, , , , ,2010-10-05T00:00:00.000Z,PHONE,2010-10-05T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,125049714,-83.8254012,35.0290708,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS, ,1336316512,2,HAYESVILLE PHARMACY LLC,HAYESVILLE PHARMACY LLC,3,PO BOX 1559, ,HAYESVILLE,NC,289041559,US,8283896900,8283896966,05/15/2008,07/10/2009,3336C0003X,10095,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
27536,11699087,UNCLASSIFIED,HIGHLANDS PHARMACY,828-526-2366,225 MAIN STREET, ,HIGHLANDS,NC,28741,8446,MACON,37113, , , , ,2010-06-09T00:00:00.000Z,ALT REF,2010-06-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,102404211,-83.2003384,35.0535342,NAVTEQ,2009Q4,ONENTITY, ,TECHNIGRAPHICS, ,1568517738,2,"ALEXANDER'S APOTHECARIES, LTD",DBA: HIGHLANDS PHARMACY,3,P.O. BOX 1258, ,HIGHLANDS,NC,28741,US,8285262366,8285269758,01/25/2007,03/11/2009,183500000X,11035,NC,183500000X,05381,NC,3336C0003X, ,NC,183500000X,11035N.C.,NC,3336C0003X,5381N.C.,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
27633,11678738,UNCLASSIFIED,KERR DRUG,828-389-6343,44 HIGHWAY 64 WEST, ,HAYESVILLE,NC,28904,9655,CLAY,37043, , , , ,2010-07-02T00:00:00.000Z,PHONE,2010-07-02T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,116025579,-83.8212413,35.0352318,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.KERRDRUG.COM,1821108523,2,KERR DRUG INC A DELAWARE COMPANY,KERR DRUG 109,3,PO BOX 54R, ,HAYESVILLE,NC,28904,US, , ,08/30/2006,07/08/2007,333600000X,6906,NC,3336C0003X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23009,11687868,UNCLASSIFIED,RITE AID - 11533,252-728-7700,1710 LIVE OAK STREET, ,BEAUFORT,NC,28516,1565,CARTERET,37031, , , , ,2010-06-01T00:00:00.000Z,ALT REF,2010-06-01T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,801467941,-76.6387514,34.7289941,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.RITEAID.COM,1265531479,2,ECKERD CORPORATION,RITE AID PHARMACY 11533,3,200 NEWBERRY COMMONS, ,ETTERS,PA,173199363,US,7177612633,7179758659,09/22/2006,11/05/2009,332B00000X, , ,3336C0003X,8550,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23010,11649684,UNCLASSIFIED,COMMUNITY PHARMACY INCORPORATED,252-726-7787,3302 BRIDGES STREET,SUITE A,MOREHEAD CITY,NC,28557,3366,CARTERET,37031, , , , ,2010-06-01T00:00:00.000Z,ALT REF,2010-06-01T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,125313924,-76.7487169,34.7277968,NAVTEQ,2009Q4,ONENTITY, ,TECHNIGRAPHICS, ,1831136761,2,COMMUNITY PHARMACY INC, , ,3302 BRIDGES ST,STE A,MOREHEAD CITY,NC,285573218,US, , ,05/31/2006,07/08/2007,333600000X,09027,NC,3336C0003X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23011,11641821,UNCLASSIFIED,MOREHEAD CITY DRUG COMPANY,252-726-2106,1704 ARENDELL STREET, ,MOREHEAD CITY,NC,28557,4040,CARTERET,37031, , , , ,2010-06-01T00:00:00.000Z,ALT REF,2010-06-01T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,102106541,-76.7259427,34.7230477,NAVTEQ,2009Q4,ONENTITY, ,TECHNIGRAPHICS, ,1952414757,2,MOREHEAD CITY DRUGS CO, , ,1704 ARENDELL ST, ,MOREHEAD CITY,NC,285574040,US,2527262106,2527264457,08/16/2006,07/08/2007,3336C0003X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23012,11681574,UNCLASSIFIED,CVS - 7381,252-728-1465,1502 LIVE OAK STREET, ,BEAUFORT,NC,28516,1519,CARTERET,37031, , , , ,2010-06-02T00:00:00.000Z,ALT REF,2010-06-03T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,102106588,-76.6454169,34.7244106,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.CVS.COM,1194828871,2,REVCO DISCOUNT DRUG CENTERS INC,CVS PHARMACY #07381,3,1 CVS DR,PO BOX 1075,WOONSOCKET,RI,028956146,US, , ,09/07/2006,11/18/2009,3336C0003X, , ,333600000X,6551,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23131,11704121,UNCLASSIFIED,BELLS DRUG STORE,252-728-3810,331 FRONT STREET, ,BEAUFORT,NC,28516,2124,CARTERET,37031, , , , ,2010-08-31T00:00:00.000Z,ALT REF,2010-08-31T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,102739440,-76.6660319,34.7173016,NAVTEQ,2009Q4,ONENTITY, ,TECHNIGRAPHICS, ,1881890341,2,"BELL'S DRUG STORE, INC.", , ,331 FRONT ST, ,BEAUFORT,NC,285162124,US,2527283810,2527284857,06/22/2007,02/14/2008,3336C0003X,02543,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
