OBJECTID,ID,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,WEBSITE,FCODE,GNIS_ID,SOURCE,GOVT_LEVEL,TOT_STAFF,SPEC_EQUIP,SDR
1405,11612858,CLAY COUNTY HEALTH DEPARTMENT,828-389-8052,1 RIVERSIDE CIRCLE, ,HAYESVILLE,NC,28904,7946,CLAY,37043, , , , ,2009-12-15T00:00:00.000Z,PHONE,2009-12-15T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,102696041,-83.8162668,35.0475321,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS,WWW.CLAYHDNC.US,80028, ,TECHNIGRAPHICS,LOCAL,0, ,YES
1423,11612856,CHEROKEE COUNTY HEALTH DEPARTMENT,828-837-7486,228 HILTON STREET, ,MURPHY,NC,28906,2814,CHEROKEE,37039, , , , ,2009-12-15T00:00:00.000Z,PHONE,2009-12-15T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,102686927,-84.0323283,35.091285,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS,WWW.CHEROKEECOUNTY-NC.GOV/DEPARTMENTS/HEALTH/,80028, ,TECHNIGRAPHICS,LOCAL,0, ,YES
1797,11612931,YANCEY COUNTY HEALTH DEPARTMENT,828-682-6118,202 MEDICAL CAMPUS DRIVE, ,BURNSVILLE,NC,28714, ,YANCEY,37199, , , , ,2009-12-02T00:00:00.000Z,PHONE,2009-12-02T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION, ,-82.3327961,35.9160869,TGS,2009Q2,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.NCALHD.ORG/COUNTY.HTM,80028, ,TECHNIGRAPHICS,LOCAL,0, ,YES
9,11612861,CUMBERLAND COUNTY HEALTH DEPARTMENT,910-433-3600,227 FOUNTAINHEAD LANE, ,FAYETTEVILLE,NC,28301,5417,CUMBERLAND,37051, , , , ,2009-12-15T00:00:00.000Z,PHONE,2009-12-15T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,102697902,-78.8896223,35.0536181,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS,WWW.CO.CUMBERLAND.NC.US/HEALTH/INDEX.HTML,80028, ,TECHNIGRAPHICS,LOCAL,0, ,YES
16,11612844,BLADEN COUNTY HEALTH DEPARTMENT,910-862-6900,300 MERCER MILL ROAD, ,ELIZABETHTOWN,NC,28337, ,BLADEN,37017, , , , ,2009-12-15T00:00:00.000Z,PHONE,2009-12-15T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,102751907,-78.6055719,34.620557,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS,WWW.BLADENINFO.ORG/DEPARTMENTS/HEALTH,80028, ,TECHNIGRAPHICS,LOCAL,0, ,YES
19,11612845,BRUNSWICK COUNTY HEALTH DEPARTMENT,910-253-2250,25 COURTHOUSE DRIVE NORTHEAST, ,BOLIVIA,NC,28422,7582,BRUNSWICK,37019, , , , ,2009-12-15T00:00:00.000Z,PHONE,2009-12-15T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,118994169,-78.1631748,34.0562871,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.BRUNSWICKCOUNTYNC.GOV/HEALTH/TABID/90/DEFAULT.ASPX,80028, ,TECHNIGRAPHICS,LOCAL,0, ,YES
20,11612839,ANSON COUNTY HEALTH DEPARTMENT,704-694-5188,110 ASHE STREET, ,WADESBORO,NC,28170, ,ANSON,37007, , , , ,2009-11-25T00:00:00.000Z,PHONE,2009-11-25T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,102862504,-80.0788512,34.9611215,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.CO.ANSON.NC.US/HEALTH/,80028, ,TECHNIGRAPHICS,LOCAL,0, , 
27,11612851,CARTERET COUNTY HEALTH DEPARTMENT,252-728-8550,3820 BRIDGES STREET,SUITE A,MOREHEAD CITY,NC,28557,2918,CARTERET,37031, , , , ,2009-12-15T00:00:00.000Z,PHONE,2009-12-15T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,127922078,-76.7606424,34.7264111,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS,WWW.CARTERETCOUNTYHEALTH.COM,80028, ,TECHNIGRAPHICS,LOCAL,0, ,YES
37,11612832,PAMLICO COUNTY HEALTH DEPARTMENT,252-745-5111,203 NORTH STREET, ,BAYBORO,NC,28515, ,PAMLICO,37137, , , , ,2009-11-25T00:00:00.000Z,PHONE,2009-11-25T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,102667084,-76.7705637,35.1438411,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.CO.PAMLICO.NC.US/DEPARTMENTS_HEALTHDEPARTMENT.ASPX,80028, ,TECHNIGRAPHICS,LOCAL,0, ,YES
43,11612835,CRAVEN COUNTY HEALTH DEPARTMENT,252-636-4960,2818 NEUSE BOULEVARD, ,NEW BERN,NC,28562,2839,CRAVEN,37049, , , , ,2009-11-25T00:00:00.000Z,PHONE,2009-11-25T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,102411721,-77.0819576,35.1233311,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.CRAVENCOUNTY.COM/DEPARTMENTS/HTH/HTHMAIN.CFM,80028, ,TECHNIGRAPHICS,LOCAL,0, ,YES
