OBJECTID,ID,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,UCAOA_ID
3008,11527261,TOPSAIL FAMILY MEDICINE AND URGENT CARE,910-270-0052,16747 UNITED STATES HIGHWAY 17 NORTH,SUITE 114,HAMPSTEAD,NC,28443, ,PENDER,37141,LOCATED ON THE NORTHWEST SIDE OF US-17 N BETWEEN JOHN WILSON RD AND COUNTRY CLUB DR, , , ,2009-04-16T00:00:00.000Z,PHONE,2009-04-16T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",125338056,-77.6861888,34.3891219,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3009,11527296,RAPHA PRIMARY CARE,910-864-4357,1905 SKIBO ROAD, ,FAYETTEVILLE,NC,28314,1518,CUMBERLAND,37051,SOUTHEAST CORNER OF SKIBO RD AND MORGANTON ROAD., , , ,2009-04-20T00:00:00.000Z,PHONE,2009-04-20T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",102807204,-78.9654044,35.0697313,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3010,11527271,CLINTON URGENT CARE,910-592-9113,1004 BEAMAN STREET, ,CLINTON,NC,28328,2329,SAMPSON,37163,LOCATED ON THE EAST SIDE OF BEAMON ST BETWEEN FAIRVIEW ST AND PETERSON ST, , , ,2009-04-23T00:00:00.000Z,PHONE,2009-04-23T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",102385835,-78.3257295,35.0136171,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3026,10470639,CAPITAL URGENT CARE,919-878-3655,3509 CAPITAL BOULEVARD,SUITE 101,RALEIGH,NC,27604,3325,WAKE,37183,ON THE W SIDE OF CAPITAL BVLD BETWEEN OLD BUFFALOE RD AND HOBBY CT, , , ,2008-03-14T00:00:00.000Z,PHONE,2008-03-14T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",17007258,-78.5862555,35.8279302,NAVTEQ,2006Q4,ONENTITY,YES,TGS, 
3028,10424647,PRESBYTERIAN URGENT CARE - BLAKENEY,704-316-2505,5815 BLAKENEY PARK DRIVE, ,CHARLOTTE,NC,28277,5731,MECKLENBURG,37119,ON THE SOUTHEAST CORNER OF ARDREY KELL RD AND BLAKENEY PARK DRIVE., , , ,2008-02-05T00:00:00.000Z,PHONE,2009-05-22T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",708527054,-80.8074449,35.0331089,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, 
3032,11527264,WHITE OAK URGENT CARE,336-495-1001,608 WEST ACADEMY STREET, ,RANDLEMAN,NC,27317,9748,RANDOLPH,37151,LOCATED ON THE NORTHEAST SIDE OF W ACADEMY ST LESS THAN 0.10 MILE NORTHWEST OF REECE AVE, , , ,2009-04-16T00:00:00.000Z,PHONE,2009-04-16T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",102515844,-79.8162234,35.8206348,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3053,10470809,UNIFOUR URGENT CARE,828-267-0551,1105 FAIRGROVE CHURCH ROAD SOUTHEAST, ,CONOVER,NC,28613,9090,CATAWBA,37035,ON THE E SIDE OF FAIRGROVE CHURCH RD SE BETWEEN 11TH AVE DR SE AND 12TH AVE SE, , , ,2008-03-17T00:00:00.000Z,PHONE,2008-03-21T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",125102533,-81.264467,35.7126877,NAVTEQ,2006Q4,ONENTITY,YES,TGS, 
3060,11518993,DUKE MEDICAL PLAZA - KNIGHTDALE,919-332-5205,162 LEGACY OAKS DRIVE, ,KNIGHTDALE,NC,27545, ,WAKE,37183,NORTH SIDE OF LEGACY OAKS DR APPROX .3 MILES EAST THEN NORTH OF THE MOST SOUTHERN INTERSECTION OF LEGACY OAKS DR AND HODGE RD, , , ,2009-03-10T00:00:00.000Z,PHONE,2009-03-10T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING", ,-78.520171,35.7992313,TGS,2008Q1,BLOCKFACE,YES,TGS, 
3087,10844445,HILLCREST URGENT CARE,336-760-8999,2337 WINTERHAVEN LANE, ,WINSTON SALEM,NC,27103, ,FORSYTH,37067,LOCATED ON THE SOUTHEAST SIDE OF WINTERHAVEN LANE LESS THAN .10 MILES SOUTHWEST OF THE INTERSECTION OF HILLCREST CENTER DRIVE AND WINTERHAVEN LANE., , , ,2009-01-13T00:00:00.000Z,PHONE,2009-01-21T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING", ,-80.3258887,36.0506645,TGS,2008Q1,ONENTITY,YES,TGS, 
3111,11241466,WHITEVILLE URGENT CARE,910-642-9876,326 COLUMBUS CORNERS DRIVE, ,WHITEVILLE,NC,28472,4929,COLUMBUS,37047,LOCATED ON THE NORTH SIDE OF SLIPPERY LOG RD LESS THAN .1 MILE WEST OF COLUMBUS CORNERS DR, , , ,2009-02-05T00:00:00.000Z,PHONE,2009-02-06T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING", ,-78.7252795,34.3022231,TGS,2008Q1,ONENTITY,YES,TGS, 
3124,10844443,CALDWELL MEMORIAL HOSPITAL FALLS MEDICAL PARK URGENT CARE,828-757-5060,4355 HICKORY BOULEVARD, ,GRANITE FALLS,NC,28630,1992,CALDWELL,37027,LOCATED ON THE WEST CORNER OF TIMBER BROOK LN AND HICKORY BLVD, , , ,2009-02-02T00:00:00.000Z,PHONE,2009-02-02T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",102101910,-81.4168408,35.7929421,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3141,11527217,NEW BERN FAMILY PRACTICE AND URGENT CARE CENTER,252-638-2273,1040 MEDICAL PARK AVENUE, ,NEW BERN,NC,28562, ,CRAVEN,37049,LOCATED ON THE SOUTHEAST SIDEOF WELLON BLVD BETWEEN MEDICAL PARK AVE AND MCCARTHY BLVD, , , ,2009-04-16T00:00:00.000Z,PHONE,2009-04-16T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING", ,-77.0936562,35.1054561,TGS,2008Q1,ONENTITY,YES,TGS, 
