X,Y,OBJECTID_1,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,CONTDATE,CONTHOW,GEODATE,GEOHOW,NAICSCODE,NAICSDESCR,GEOLINKID,LONGITUDE,LATITUDE,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,STA_NO,UID_,EXTRDATE,VISN,PROV,CONT,PAR_STA_NO,POD,OPER_DATE,SH_PAR_STA,CBOC,RRTP,IOC,MOC,VAMC,VCTR,HBOC,VANH,CD115,PRIM_SVC,ULID,CBSA,UA,URH,UNIQUE_ID,STA_FAX,SHAR,PHONE
-77.923982899999942,34.199624,7,VETERANS CLINIC OF WILMINGTON,1606 PHYSICIANS DRIVE,SUITE 104,WILMINGTON,NC,28401,7348,NEW HANOVER,37129,LOCATED ON THE SE SIDE OF PHYSICIANS DRIVE 02 MILES SOUTH OF CANTERWOOD DRIVE,2007-09-24T00:00:00.000Z,PHONE,2007-09-24T00:00:00.000Z,MANUAL,62149,OTHER OUTPATIENT CARE CENTERS,127874678,-77.9239829,34.199624,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,565GC,793,2007-03-31T00:00:00.000Z,6,1,C,565,A,2001-07-13T00:00:00.000Z,N/A,1,NO,NO,NO,NO,NO,NO,NO,CD115_NC_3707,CBOC,NW0077880425_0034227832,48900,95833,UA,10315525,(910) 362-8881,NO,(910) 362-8811
-80.302462,36.058114500000038,175,WINSTON - SALEM,190 KIMEL PARK DRIVE,NOT AVAILABLE,WINSTON-SALEM,NC,27103,6946,FORSYTH,37067,NOT AVAILABLE,,N/A,2007-09-20T00:00:00.000Z,AUTO,62149,OTHER OUTPATIENT CARE CENTERS,125491657,-80.302462,36.0581145,NAVTEQ,2006Q4,BLOCKFACE,N/A,N/A,659BY,176,2007-03-31T00:00:00.000Z,6,1,L,659,A,1998-01-15T00:00:00.000Z,N/A,1,NO,NO,NO,NO,NO,NO,NO,CD115_NC_3705,CBOC,NW0080302423_0036058036,49180,96670,UA,10315834,(336) 760-5484,NO,(336) 768-3296
-80.48816,35.6842,176,WG (BILL) HEFNER SALISBURY VETERANS AFFAIRS MEDICAL CENTER,1601 BRENNER AVENUE,VETERANS AFFAIRS MEDICAL CENTER,SALISBURY,NC,28144,2515,ROWAN,37159,NOT AVAILABLE,,N/A,2007-09-20T00:00:00.000Z,AUTO,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,125495155,-80.48816,35.6842,NAVTEQ,2006Q4,ONENTITY,N/A,N/A,659,175,2007-03-31T00:00:00.000Z,6,1,V,N/A,A,1953-10-15T00:00:00.000Z,N/A,0,NO,NO,NO,YES,NO,YES,YES,CD115_NC_3713,VAMC,NW0080486358_0035683499,41580,78391,RA,10315833,(704) 638-3348,NO,(704) 638-9000
-82.48354,35.58861,177,ASHEVILLE - OTEEN,1100 TUNNEL ROAD,VETERANS AFFAIRS MEDICAL CENTER,ASHEVILLE,NC,28805,2043,BUNCOMBE,37021,NOT AVAILABLE,,N/A,2007-09-20T00:00:00.000Z,AUTO,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,119003856,-82.48354,35.58861,NAVTEQ,2006Q4,ONENTITY,N/A,N/A,637,163,2007-03-31T00:00:00.000Z,6,1,V,N/A,A,1922-06-30T00:00:00.000Z,N/A,0,NO,NO,NO,YES,NO,YES,YES,CD115_NC_3710,VAMC,NW0082488549_0035587637,11700,03358,UA,10315759,(828) 299-2502,NO,(828) 298-7911
-78.87696,35.08782,210,FAYETTEVILLE NORTH CAROLINA,2300 RAMSEY STREET,VETERANS AFFAIRS MEDICAL CENTER,FAYETTEVILLE,NC,28301,3856,CUMBERLAND,37051,NOT AVAILABLE,,N/A,2007-09-20T00:00:00.000Z,AUTO,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,127888690,-78.87696,35.08782,NAVTEQ,2006Q4,ONENTITY,N/A,N/A,565,161,2007-03-31T00:00:00.000Z,6,1,V,N/A,A,1940-10-29T00:00:00.000Z,N/A,0,NO,NO,NO,YES,NO,YES,YES,CD115_NC_3709,VAMC,NW0078878880_0035087975,22180,29440,UA,10315524,(910) 822-7093,NO,(910) 488-2120
-78.622630399999935,35.80327730000004,305,RALEIGH VETERANS CENTER,1649 OLD LOUISBURG ROAD,NOT AVAILABLE,RALEIGH,NC,27604,1376,WAKE,37183,NOT AVAILABLE,,N/A,2007-09-20T00:00:00.000Z,AUTO,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,17106881,-78.6226304,35.8032773,NAVTEQ,2006Q4,BLOCKFACE,N/A,N/A,0328V,902,2007-03-31T00:00:00.000Z,6,1,L,558,-,,N/A,0,NO,NO,NO,NO,YES,NO,NO,CD115_NC_3704,VCTR,NW0078622434_0035803207,39580,73261,UA,10314929,(919) 856-4617,NO,(919) 856-4616
-78.93883,36.00951,332,DURHAM VETERANS AFFAIRS MEDICAL CENTER,508 FULTON STREET,NOT AVAILABLE,DURHAM,NC,27705,3875,DURHAM,37063,LOCATED ON THE NW SIDE OF THE INTERSECTION OF ERWIN ROAD AND FULTON STREET,2007-09-24T00:00:00.000Z,PHONE,2007-09-24T00:00:00.000Z,MANUAL,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,17085690,-78.93883,36.00951,NAVTEQ,2006Q4,ONENTITY,YES,TGS,558,160,2007-03-31T00:00:00.000Z,6,1,V,N/A,A,1953-04-06T00:00:00.000Z,N/A,0,NO,NO,NO,YES,NO,YES,YES,CD115_NC_3701,VAMC,NW0078937369_0036009828,20500,25228,UA,10315501,(919) 286-6825,NO,(919) 286-0411
-76.826123899999956,34.744275,364,MOREHEAD COMMUNITY-BASED OUTPATIENT CLINIC,5420 STATE HIGHWAY 70 WEST,NOT AVAILABLE,MOREHEAD CITY,NC,28557,N/A,CARTERET,37031,LOCATED ON THE NE SIDE OF STATE HIGHWAY 70 WEST 06 MILES NW OF GLADYS TEASLEY LANE,2007-09-25T00:00:00.000Z,PHONE,2007-09-25T00:00:00.000Z,MANUAL,62149,OTHER OUTPATIENT CARE CENTERS,125317882,-76.8261239,34.744275,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,558GC,1143,2007-03-31T00:00:00.000Z,6,1,C,558,A,2003-12-08T00:00:00.000Z,N/A,1,NO,NO,NO,NO,NO,NO,NO,CD115_NC_3703,CBOC,NW0076809245_0034739082,33980,59194,RA,10315503,(252) 240-1840,NO,(252) 240-2349
-78.582516699999985,35.776840500000048,419,RALEIGH VETERANS AFFAIRS COMMUNITY BASED OUTPATIENT CLINIC,3305 SUNGATE BOULEVARD,NOT AVAILABLE,RALEIGH,NC,27610,2871,WAKE,37183,NORTH SIDE OF SUNGATE BOULEVARD BETWEEN SUNNYBROOK ROAD AND ALLEN GROVE COURT,2007-09-24T00:00:00.000Z,PHONE,2007-09-24T00:00:00.000Z,MANUAL,62149,OTHER OUTPATIENT CARE CENTERS,112129238,-78.5825167,35.7768405,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,558GB,1068,2007-03-31T00:00:00.000Z,6,1,L,558,A,2001-01-08T00:00:00.000Z,N/A,1,NO,NO,NO,NO,NO,NO,NO,CD115_NC_3704,CBOC,NW0078585907_0035786694,39580,73261,UA,10315502,(919) 255-1540,NO,(919) 212-0129
-80.841379699999933,35.223273700000043,441,CHARLOTTE VETERANS CENTER,223 SOUTH BREVARD STREET,SUITE 103,CHARLOTTE,NC,28202,2417,MECKLENBURG,37119,NOT AVAILABLE,,N/A,2007-09-20T00:00:00.000Z,AUTO,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,28228268,-80.8413797,35.2232737,NAVTEQ,2006Q4,BLOCKFACE,N/A,N/A,0317V,892,2007-03-31T00:00:00.000Z,6,1,L,659,-,,N/A,0,NO,NO,NO,NO,YES,NO,NO,CD115_NC_3712,VCTR,NW0080841411_0035223462,16740,15670,UA,10315123,(704) 344-6470,NO,(704) 333-6107
