XFCOUNTY,XFACILITY,XCAP,LLICENSEE,XSADDR,XSCITY,XSSTATE,XSZIP,XFADDR1,XFADDR2,XFCITY,XFSTATE,XFZIP,XFPHONE,XFFAX,LLICENSNO,XFID,XSTATUS,STARS
"Alamance","A Touch of Country Family Care",6,"A Touch of Country Family Care, Inc","4159 Brandon Lane","Burlington","NC","27217-7755","4159 Brandon Lane","","Burlington","NC","27217-7755","(336)570-1748","(336)570-0905","FCL-001-121","051161","Active",3
"Alamance","Above and Beyond Adult Care Home",5,"Above and Beyond Family Care, LLC","1616 E Webb Avenue","Burlington","NC","27217-7414","1616 E Webb Avenue","","Burlington","NC","27217","(336)270-4454","(336)226-6417","FCL-001-122","060922","Active",4
"Alamance","Above and Beyond Family Care II",6,"Above and Beyond Family Care, LLC","316 Denny Circle","Graham","NC","27253","1616 East Webb Avenue","","Burlington","NC","27217","(336)227-0970","(336)506-7707","FCL-001-139","920454","Active",4
"Alamance","Adorable at Burlington",6,"Adorable Family Care Home, Inc.","1703 Vaughn Road","Burlington","NC","27217","1801 St Albans Drive Suite G","","Raleigh","NC","27609","(919)606-8402","(919)876-4946","FCL-001-164","955449","Active",4
"Alamance","Alvarado's Family Care",6,"Alvarado's Family Care, Inc","646 Country Club Drive","Burlington","NC","27215","646 Country Club Drive","","Burlington","NC","27215","(336)222-0303","(888)291-1615","FCL-001-101","020737","Active",3
"Alamance","Anthony's Street Family Care Home",5,"Pamela Vonzelle Fowler","123 S. Anthony Street","Burlington","NC","27215","123 S. Anthony Street","","Burlington","NC","27215","(336)228-7897","(336)226-5479","FCL-001-120","920400","Active",4
"Alamance","B and N Family Care Home",6,"Lawanda Ray","301 Homewood Avenue","Burlington","NC","27217","PO Box 4094","","Burlington","NC","27215","(336)270-6140","(336)421-5871","FCL-001-144","921101","Active",3
"Alamance","Bethany Tender Love and Care",6,"Ethel Woods","532 Greenwood Drive","Burlington","NC","27215","532 Greenwood Drive","","Burlington","NC","27215","(336)584-2763","(336)584-2763","FCL-001-047","944448","Active",3
"Alamance","Bountiful Blessings FCH",4,"Tonya Torain","208 Gilmer Street","Burlington","NC","27217-4051","208 Gilmer Street","","Burlington","NC","27217-4051","(336)524-6092","(336)524-6247","FCL-001-146","080448","Active",3
"Alamance","C & M Adult Care Home",6,"Mertis C. Wilson","422 N. Main Street","Burlington","NC","27217","422 N. Main Street","","Burlington","NC","27217","(336)227-5216","(336)226-8102","FCL-001-089","960130","Active",4
"Alamance","Caring Hearts Assisted Living",6,"Delois Sellars","218 Adams Street","Burlington","NC","27217-2304","218 Adams Street","","Burlington","NC","27217-2304","(336)228-7900","(336)228-7900","FCL-001-104","920600","Active",4
"Alamance","Cham-Net Family Care Home",6,"Sandy W. Griffis","1010 Richmond Avenue Apt B","Burlington","NC","27217-1525","1124 Thomas Avenue","","Burlington","NC","27215-6965","(336)226-5060","(336)226-5045","FCL-001-132","960919","Active",3
"Alamance","Community Care Home",6,"Jeanette Thomas & Hazel Spruill","1104 S. Church Street","Burlington","NC","27215","1104 S. Church Street","","Burlington","NC","27215","(336)350-8295","(336)350-8295","FCL-001-162","140392","Active",3
"Alamance","Creekview Family Care Home",6,"Lawanda J Ray","3524 Dickey Mill Road","Mebane","NC","27302","PO Box 4094","","Burlington","NC","27215","(336)578-8374","(336)578-0633","FCL-001-140","920278","Active",3
"Alamance","Dee & G Enrichment Center",6,"Clara S. Yancey and Cherry Sellars Crisp","2822  S Mebane Street","Burlington","NC","27215","P.O. Box 2073","","Burlington","NC","27215","(336)570-3072","(336)222-8338","FCL-001-117","060791","Active",3
"Alamance","Eastway Family Care",6,"Eastway Family Care , LLC","108 Eastway Lane","Graham","NC","27253","316 S. Maple Street","","Graham","NC","27253","(336)436-0219","(336)270-3925","FCL-001-151","080263","Active",4
"Alamance","Eliphal Family Care Home",6,"Clegail Professional Services, LLC","724 Askew Street","Burlington","NC","27215","5635 Hornaday Road Unit #D","","Greensboro","NC","27409","(336)524-6524","(336)524-6353","FCL-001-157","970795","Active",3
"Alamance","Elizur Family Care Home",6,"Clegail Professional Services","711 Askew Street","Burlington","NC","27215","5635 Hornaday Road","Unit #D","Greensboro","NC","27409","(336)524-6645","(336)524-6353","FCL-001-153","970833","Active",3
