FID,STYPE,FACILITY,FADDR1,FADDR2,FCITY,FSTATE,FZIP,FCOUNTY,FPHONE,FEXTEN,FFAX,OBN1,OBN2,SADDR,SCITY,SSTATE,SZIP,ICF,LICNO,LICENSEE,ODATE,EFFECTIVE,EXPIRES,FULL,SAELIGIBLE,CAPACITY,NFTOTAL,HATOTAL,LTCTOTAL,HTOTAL,TOTALBEDS,HGENLIC,REHABHLIC,PSYLIC,SALIC,DETOXLIC,HOSLIC,RSRCHLIC,OTHRHLIC,ALZLIC,HIVLIC,REHABNLIC,TBILIC,VENLIC,OTHNFLIC,NFGENLIC,HAALZLIC,HAHIVLIC,HAGENLIC,RETIREBEDS,CONCARE,ADCP,HOSPICE,RESPITE,REHAB,HOMECARE,SUBACUBEDS,CONSUBACUT,HCACAT,HOSCAT,NPCAT,NSGSVCS,NSGINTSV,NSGPDSV,IVSV,AIDESV,SWSV,PTSV,OTSV,SPSV,PMSV,DMESV,SPLYSV,NSGPOOL,POOLAIDE,HHASV,HHANO,HOSNO,HPBEDS,HRBEDS,HOSSV,ADMNAME,ADMPHONE,DONNAME,MGMTNAME,MGMTADDR,PARNAME,PARADDR,OWNER,OWNERADDR,HOLDSTYPE
"921396","Mental Health Homes","23rd Street Home","1754 GKN Way","","Newton","NC","28658","Catawba","(828)465-2114","","(828)428-3600","","","804 East 23rd Street","Newton","NC","28658",T,"MHL-018-014","RHA Health Services NC, LLC",02/03/1989,01/01/2018,12/31/2018,T,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Arlene Bridges","(828)428-0061","","RHA Health Management Services, LLC","17 Church Street Asheville, NC 28801","Resource Healthcare of America Inc","One Buckhead Plaza   Suite 900, 3060 Peachtree Road Atlanta, GA 30305","RHA Health Services NC, LLC","17 Church Street Asheville, NC 28801","MHL"
"921401","Mental Health Homes","A. Jack Wall Group Home","PO Box 2487","","Albemarle","NC","28002","Stanly","(704)983-6696","","(704)982-8155","","","1213 Moss Springs Road","Albemarle","NC","28001",T,"MHL-084-017","GHA Autism Supports",08/01/1990,01/01/2018,12/31/2018,T,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Dawn H Allen","(704)982-9600","","","","","","Dawn H Allen","","MHL"
"922850","Mental Health Homes","Airport Road Group Home","PO Box 11077","","Goldsboro","NC","27532","Wayne","(919)734-1718","","(919)735-9643","","","195 Airport Road","Goldsboro","NC","27530",T,"MHL-096-021","NOVA IC, Inc.",12/01/1990,01/01/2018,12/31/2018,T,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Candra Hill","(919)734-8803","","","","","","Kimberly D Ford","","MHL"
"921449","Mental Health Homes","Ansonville Group Home","350 Pee Dee Ave, Suite 101","","Albermarle","NC","28001","Anson","(704)826-6233","","(704)826-6233","","","1215 Ansonville/Polkton Rd.","Ansonville","NC","28007",T,"MHL-004-004","Monarch",06/19/1991,01/01/2018,12/31/2018,T,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Melissa Hall","(704)986-1500","","","","","","Peggy Terhune","","MHL"
"921463","Mental Health Homes","Ashley Heights Home","2248 Wingate Road","","Fayetteville","NC","28304","Hoke","(910)424-2121","","(910)424-7045","","","2990 Reservation Road","Aberdeen","NC","28315-5414",T,"MHL-047-006","RHA Health Services NC, LLC",01/01/1988,01/01/2018,12/31/2018,T,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Samantha Scott","(910)424-2121","","RHA Health Management Services, LLC","17 Church Street Asheville, NC 28801","","","RHA Health Services NC, LLC","17 Church Street Asheville, NC 28801","MHL"
"955632","Mental Health Homes","Avent Ferry Home","908 Avent Ferry Road","","Holly Springs","NC","27540","Wake","(919)557-6336","","(919)557-6740","","","904 Avent Ferry Road","Holly Springs","NC","27540",T,"MHL-092-126","Community Innovations, Inc.",06/01/1995,01/01/2018,12/31/2018,T,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Roberta Norris","(910)840-2514","","","","Community Innovations Inc","801 Wilson Street, Andy Anderson, Sr. Officer Whiteville, NC 28472","Community Based Care, LLC","315 Wilkesboro Blvd NE, Suite 2A Lenoir, NC 28645","MHL"
"080836","Mental Health Homes","Bass Lake","1200 Navaho Drive","","Raleigh","NC","27609","Wake","(919)557-3844","","(919)557-3848","","","408 Bass Lake","Holly Springs","NC","27540",T,"MHL-092-817","VOCA Corporation of North Carolina",06/16/2011,01/01/2018,12/31/2018,F,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Keisha Douglas","(919)557-3844","","","","VOCA Corporation of America","9901 Linn Station Road Louisville, KY 40223","Patrick G Kelly","","MHL"
"922017","Mental Health Homes","Bear Creek","5840 Greenwood Avenue","","La Grange","NC","28551","Lenoir","(252)566-9181","","(252)566-2912","","","5840 Greenwood Avenue","La Grange","NC","28551",T,"MHL-054-006","RHA Health Services NC, LLC",06/01/1985,01/01/2018,12/31/2018,T,F,113,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Luanne Davis","(252)566-9181","","RHA Health Management Services, LLC","17 Church Street Asheville, NC 28801-","Resource Healthcare of America Inc","One Buckhead Plazq   Suite 900, 3060 Peachtree NW Atlanta, GA 30305","RHA Health Services NC, LLC","17 Church Street Asheville, NC 28801","MHL"
"951717","Mental Health Homes","Belmont Group Home","905-A North New Hope Road","","Gastonia","NC","28054","Gaston","(704)825-7422","","(704)868-2154","","","PO Box 563 - Loop Road/ 205 Wimmer Cir.,","Belmont","NC","28012",T,"MHL-036-016","Gaston Residential Services- ICF/MR, Inc.",07/01/1987,01/01/2018,12/31/2018,T,F,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Tonda S Stillwell","(704)861-9280","","","","","","Rita B Thout","","MHL"
"921504","Mental Health Homes","Blanche Drive","1200 Navaho Drive","","Raleigh","NC","27609","Wake","(919)859-1450","","(919)859-1450","","","6208 Blanche Drive","Raleigh","NC","27607",T,"MHL-092-057","Educare Community Living Corporation - North Carolina",05/01/1988,01/01/2018,12/13/2018,T,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Duke Nyabera","(919)387-1011","","","","Rescare","10140 Linn Station Road Louisville, KY 40223","Educare Community Living Corporation - North Carolina","1200 Navaho Drive Raleigh, NC 27609-","MHL"
