FID,FACILITY,SADDR,SCITY,SSTATE,SZIP,FCOUNTY,FPHONE,STYPE,LICNO,LICENSEE,CAPACITY,EXPIRES
"080076","A Better Path, Inc.","309 South Beaumont Avenue","Burlington","NC","27217","Alamance","(336)221-9156","MHL","MHL-001-166","A Better Path, Inc.",5,12/31/2018
"101169","A Greater X-Change","1340 Apple Street Extension","Burlington","NC","27217","Alamance","(336)222-7767","MHL","MHL-001-209","Cynthia Hodges",2,12/31/2018
"150165","A Solid Foundation","423 Oakland Drive","Burlington","NC","27215","Alamance","(336)212-3828","MHL","MHL-001-182","Brenda Lee Torain",6,12/31/2018
"120506","Alamance Academy","530 Rosenwald Street","Burlington","NC","27215","Alamance","(336)350-8169","MHL","MHL-001-230","Alamance Academy, LLC",0,12/31/2018
"170402","Alamance Academy, LLC","723 North Fisher Street","Burlington","NC","27217","Alamance","(336)227-3111","MHL","MHL-001-159","Alamance Academy, LLC",5,12/31/2018
"130520","Alamance Homes","625 N. Mebane Street","Burlington","NC","27217","Alamance","(336)270-4738","MHL","MHL-001-215","Timmy Rogers and Jan Simpson Rogers",6,12/31/2018
"140359","Alamance Homes II","801 N. Mebane Street","Burlington","NC","27217","Alamance","(336)270-3623","MHL","MHL-001-237","Alamance Home, LLC",6,12/31/2018
"120385","All God's Children of Burlington","101 Ruby Lane","Haw River","NC","27258","Alamance","(336)227-9594","MHL","MHL-001-162","All God's Children of Burlington, LLC",4,12/31/2018
"920038","Aspen Court Group Home","407 Aspen Court","Graham","NC","27253","Alamance","(336)227-1011","MHL","MHL-001-090","Ralph Scott Lifeservices, Inc.",6,12/31/2018
"160521","B and R Providers","2445 Rogers Court","Graham","NC","27253","Alamance","(336)212-7861","MHL","MHL-001-245","Brenda Wilson Reese",2,12/31/2018
"150564","Blackwell's Community Living, LLC","509 Fernway Drive","Burlington","NC","27217","Alamance","(336)270-4463","MHL","MHL-001-184","Blackwell's Community Living, LLC",4,12/31/2018
"920131","Broad Street Group Home","724 South Broad","Burlington","NC","27215","Alamance","(336)227-1011","MHL","MHL-001-089","Ralph Scott Lifeservices, Inc.",6,12/31/2018
"920191","Cedars DDA  Group Home","838 Ross Street","Burlington","NC","27217","Alamance","(336)227-0988","MHL","MHL-001-083","Faiger Blackwell",8,12/31/2018
"120306","Ceesons of Change","1536 Morningside Drive","Burlington","NC","27217","Alamance","(336)270-5030","MHL","MHL-001-187","Ceesons of Change, LLC",6,12/31/2018
"130118","Changing Lives Family Care Home, LLC","207 Aarons Way","Burlington","NC","27217","Alamance","(336)229-5108","MHL","MHL-001-232","Changing Lives Family Care Home, LLC",5,12/31/2018
"100150","Changing Lives Group Home III, LLC","636 Gunn Street","Burlington","NC","27217","Alamance","(336)270-8718","MHL","MHL-001-244","Changing Lives Group Home III, LLC",6,12/31/2018
"000019","Cozie's Supervised Living","7964 County Line Road","Liberty","NC","27298","Alamance","(336)622-2754","MHL","MHL-001-074","Cozie's Supervised Living, Inc.",4,12/31/2018
"000019","Cozie's Supervised Living","7964 County Line Road","Liberty","NC","27298","Alamance","(336)622-2754","MHL","MHL-001-074","Cozie's Supervised Living, Inc.",4,12/31/2018
"991142","Crestview Group Home","631 Crestview Drive","Burlington","NC","27217","Alamance","(336)227-1911","MHL","MHL-001-070","Residential Treatment Services of Alamance, Inc.",6,12/31/2018
"030366","Crestview Group Home #2","635 Crestview Drive","Burlington","NC","27217","Alamance","(336)222-1737","MHL","MHL-001-014","Residential Treatment Services of Alamance, Inc.",6,12/31/2018
"030194","Curry's Haven","2482 Adams Farm Court","Snow Camp","NC","27349","Alamance","(336)565-9090","MHL","MHL-001-119","Todd Lewis Curry",2,12/31/2018
"070295","Dee & G Enrichment #2","207 Friendly Road","Burlington","NC","27215","Alamance","(336)227-0824","MHL","MHL-001-131","Clara Yancey and Cherry Crisp",6,12/31/2018
"110029","Dee & G Enrichment Center #3","321 Austin Street","Burlington","NC","27217","Alamance","(336)570-0365","MHL","MHL-001-132","Clara S. Yancey",3,12/31/2018
