FACILITY,FADDR1,FADDR2,FCITY,FSTATE,FZIP,FPHONE,FCOUNTY,STYPE,SADDR,SCITY,SSTATE,SZIP,LICENSEE,LICNO,PENDING,FID,CLOSED,TERMINATED,HCACAT,HOSCAT,NPCAT,NSGSVCS,CLINICAL,EXPIRES,IVSV,AIDESV,SWSV,PTSV,OTSV,SPSV,SPLYSV,NSGPOOL,POOLAIDE,HHASV,HHANO,HOSNO,HPBEDS,HRBEDS,JCAHO,RJCAHO,ACHC,CARF,NARRAL,ACCHC,NHCC,PPH,CHAP,OTHERA
"Amedisys Hospice","2929 Crouse Lane","Suite E","Burlington","NC","27215-8316","(336)584-4440","Alamance","HOS","2929 Crouse Lane, Suite E","Burlington","NC","27215-8316","Tender Loving Care Health Care Services Southeast L.L.C","HOS3823",F,"090427",F,F,F,T,F,F,F,12/31/2018,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,F,T,F,F,F,F,F,F,F
"Community Home Care and Hospice","P.O. Box 4060","Attn: Regulatory","Mooresville","NC","28117-","(336)584-6033","Alamance","HOS","2730 Tucker Street, Suite 600","Burlington","NC","27215-9871","Community Home Care of Vance County, LLC","HOS3063",F,"050578",F,F,F,T,F,F,F,12/31/2018,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,F,T,F,F,F,F,F,F,F
"Hospice  and Palliative Care of Alamance Caswell","914 Chapel Hill Road","","Burlington","NC","27215-","(336)532-0100","Alamance","HOS","918 Chapel Hill Road","Burlington","NC","27215-","Hospice of Alamance Caswell Foundation, Inc.","HOS1136",F,"944581",F,F,F,T,F,F,F,12/31/2018,F,F,F,F,F,F,F,F,F,F,"","341514",14,8,F,F,T,F,F,F,F,F,F,F
"Liberty Home Care and Hospice","847 Heather Road","","Burlington","NC","27215-6288","(336)226-4053","Alamance","HOS","847 Heather Road","Burlington","NC","27215-6288","Liberty Home Care, LLC","HOS3049",F,"050523",F,F,F,T,F,F,F,12/31/2018,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,F,T,F,F,F,F,F,F,F
"Medi Home Health and Hospice","P.O. Box 609","","Lexington","SC","29071-0609","(336)372-8018","Alleghany","HOS","115 Atwood Street, Suite C","Sparta","NC","28675-","Medical Services of America, Inc.","HOS1123",F,"944316",F,F,F,T,F,F,F,12/31/2018,F,F,F,F,F,F,F,F,F,F,"","341539",0,0,F,F,T,F,F,F,F,F,F,F
"Hospice of Anson County","700 West Roosevelt Blvd.","","Monroe","NC","28110-","(704)694-4880","Anson","HOS","919 E Caswell Street","Wadesboro","NC","28170-","Carolinas Palliative Care and Hospice Network, Inc.","HOS1898",F,"001202",F,F,F,T,F,F,F,12/31/2018,F,F,F,F,F,F,F,F,F,F,"","",0,0,T,F,T,F,F,F,F,F,F,F
"Liberty Home Care and Hospice","119 W. Wade Street","","Wadesboro","NC","28170-","(704)695-1421","Anson","HOS","119 W. Wade Street","Wadesboro","NC","28170-","Liberty Home Care II, LLC","HOS3064",F,"050584",F,F,F,T,F,F,F,12/31/2018,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,F,T,F,F,F,F,F,F,F
"Medi Home Health and Hospice","P.O. Box 609","","Lexington","SC","29071-0609","(336)248-6443","Ashe","HOS","405 S. Jefferson Avenue","West Jefferson","NC","28694-9807","Medical Services of America, Inc.","HOS1124",F,"944314",F,F,F,T,F,F,F,12/31/2018,F,F,F,F,F,F,F,F,F,F,"","341539",0,0,F,F,T,F,F,F,F,F,F,F
"Medi Home Hospice","P O Box 609","","Lexington","SC","29071-0609","(828)733-0663","Avery","HOS","1955 Newland Hwy.","Newland","NC","28657-","Medical Services of America, Inc.","HOS0363",F,"943861",F,F,F,T,F,F,F,12/31/2018,F,F,F,F,F,F,F,F,F,F,"","341533",0,0,F,F,T,F,F,F,F,F,F,F
"Community Home Care and Hospice","P.O. Box 4060","Attn: Regulatory","Mooresville","NC","28117-","(252)946-0312","Beaufort","HOS","222 Stewart Parkway, Suite 100","Washington","NC","27889-","Community Hospice, LLC","HOS2516",F,"040255",F,F,F,T,F,F,F,12/31/2018,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,F,T,F,F,F,F,F,F,F
