FID,STYPE,FCOUNTY,FACILITY,FADDR1,FCITY,FSTATE,FZIP,FPHONE,LICNO,LICENSEE,EXPIRES,ORSURG_AS,ORENDO_AS
"120584","AS","Lenoir","AMG Endoscopy Center","2541 North Queens Street","Kinston","NC","28501-","","AS0156","Atlantic Medical Group",12/31/2018,0,2
"070167","AS","Watauga","Appalachian Gastroenterology, PA","870 State Farm Road","Boone","NC","28607-","(828)264-0029","AS0095","Appalachian Gastroenterology, PA",12/31/2018,0,2
"020154","AS","Buncombe","Asheville Eye Surgery Center","8 B Medical Park Drive","Asheville","NC","28803-","(828)210-2020","AS0065","WNC Eye Surgery Center, Inc.",12/31/2018,1,0
"061488","AS","Pitt","Atlantic Gastroenterology Endoscopy Center, PA","2465 Emerald Place","Greenville","NC","27834-5785","(252)758-5757","AS0086","Atlantic Gastroenterology Endoscopy Center, PA",12/31/2018,0,2
"061166","AS","Guilford","Bethany Medical Endoscopy Center","507 Lindsay Street","High Point","NC","27262-","(336)883-0029","AS0076","BETHANY MEDICAL CENTER, P.A., THE 'LINDSAY FACILITY'",12/31/2018,0,2
"922977","AS","Wake","Blue Ridge Surgery Center","2308 Wesvill Ct","Raleigh","NC","27607","(919)781-4311","AS0029","Blue Ridge Day Surgery Center, L.P.",12/31/2018,6,0
"070559","AS","Nash","Boice-Willis  Clinic Endoscopy Center","P.O. Box 7200","Rocky Mount","NC","27804-","(252)937-0220","AS0105","Boice-Willis Clinic, PA",12/31/2018,0,2
"061311","AS","Craven","CCHC Endoscopy Center","975 Newman Road","New Bern","NC","28562-","(252)514-6644","AS0078","CCHC Endoscopy Center, Inc.",12/31/2018,0,3
"080330","AS","Wilson","CGS Endoscopy Center, PLLC","3520 Airport Blvd., Suite F","Wilson","NC","27896-","(252)206-5622","AS0112","Carolina Gastroenterology Specialists PLLC",12/31/2018,0,2
"090442","AS","Wake","Capital City Surgery Center","23 Sunnybrook Road","Raleigh","NC","27610-","(919)322-4800","AS0137","Capital City Surgery Center, LLC",12/31/2018,8,0
"070754","AS","Gaston","CaroMont Endoscopy Center","2525 Court Drive","Gastonia","NC","28054-","(704)825-5677","AS0135","CaroMont Health Services, Inc.",12/31/2018,0,2
"050268","AS","Mecklenburg","Carolina Center for Specialty Surgery","1822 Brunswick Avenue","Charlotte","NC","28207-","(704)831-4400","AS0058","Waveco, LLC",12/31/2018,2,0
"080174","AS","Burke","Carolina Digestive Care","107 B Mica Ave.","Morganton","NC","28655-","(828)437-7702","AS0145","Carolina Digestive Care",12/31/2018,0,2
"080081","AS","Pitt","Carolina Digestive Diseases, PA","704 W.H. Smith Blvd.","Greenville","NC","27834-","(252)758-8181","AS0118","Carolina Digestive Diseases, PA",12/31/2018,0,2
"070155","AS","Mecklenburg","Carolina Digestive Endoscopy Center","300 Billingsley Road","Charlotte","NC","28211-","(704)927-6066","AS0092","A Division of Carolina Digestive Health Associates P. A",12/31/2018,0,2
"070734","AS","Mecklenburg","Carolina Endoscopy Center-Huntersville","16455 Statesville Road","Huntersville","NC","28078-","(704)237-9290","AS0108","Endoscopy Center-Huntersville, LLC",12/31/2018,0,2
"070116","AS","Union","Carolina Endoscopy Center-Monroe","1321 E. Sunset Drive","Monroe","NC","28112-","(704)261-1220","AS0090","Endoscopy Center-Monroe, LLC",12/31/2018,0,2
"070044","AS","Mecklenburg","Carolina Endoscopy Center-Pineville","10520 Park Road","Charlotte","NC","28210-","(704)927-5756","AS0088","Endoscopy Center-Pineville, LLC",12/31/2018,0,2
"070115","AS","Mecklenburg","Carolina Endoscopy Center-University","101 W.T. Harris Blvd.","Charlotte","NC","28262-","(704)927-4280","AS0089","Endoscopy Center-University, LLC",12/31/2018,0,2
"070560","AS","Henderson","Carolina Mountain Gastroenterology Endoscopy Center","1032 Fleming Street","Hendersonville","NC","28791-","(828)696-3099","AS0106","Carolina Mountain Gastroenterology, P.A.",12/31/2018,0,2
"070300","AS","Craven","CarolinaEast Internal Medicine","P.O. Box 68","Pollocksville","NC","28573-","(252)636-4502","AS0096","CarolinaEast Health System",12/31/2018,0,3
"061341","AS","Pitt","Carolinas Endoscopy Center, LLC","401 Commerce Street","NAshville","TN","37219-","(252)551-3000","AS0117","Carolinas Endoscopy Center, LLC",12/31/2018,0,3
"061460","AS","Mecklenburg","Carolinas Gastroenterology Center - Ballantyne","P.O. Box 32861","Charlotte","NC","28232-2861","(704)512-2140","AS0081","Carolinas Physicians Network, Inc.",12/31/2018,0,4
"061450","AS","Mecklenburg","Carolinas Gastroenterology Center-Medical Center Plaza","P.O. Box 32861","Charlotte","NC","28232-2861","(704)355-4178","AS0080","Carolinas Physicians Network, Inc.",12/31/2018,0,2
"060786","AS","Wake","Center for Digestive Diseases & Cary Endoscopy CTR, PC","1120 S.E Cary Pkwy. Suite 204","Cary","NC","27518-","(919)854-0041","AS0072","Center for Digestive Diseases & Cary Endoscopy  CTR, PC",12/31/2018,0,3
"070628","AS","Mecklenburg","Charlotte Gastroenterology & Hepatology, PLLC-Endo Div","13808 Professional Center Drive","Huntersville","NC","28078-","(704)377-4009","AS0109","Charlotte Gastroenterology & Hepatology, PLLC",12/31/2018,0,4
"070703","AS","Mecklenburg","Charlotte Gastroenterology & Hepatology, PLLC-Endo Div","13808 Professional Center Drive","Huntersville","NC","28078-","(704)543-1220","AS0110","Charlotte Gastroenterology & Hepatology, PLLC",12/31/2018,0,2
"943093","AS","Mecklenburg","Charlotte Surgery Center","2825 Randolph Road","Charlotte","NC","28211","(704)377-1647","AS0026","Charlotte Surgery Center",12/31/2018,7,0
"140142","AS","Johnston","Clayton Endoscopy Center","2601 Lake Drive","Raleigh","NC","27607-","(919)341-3547","AS0153","Wake Endoscopy Center, LLC - Clayton",12/31/2018,0,2
"955505","AS","Cleveland","Cleveland Ambulatory Services","1100 N. Lafayette Street","Shelby","NC","28150-","(704)482-1331","AS0062","Cleveland Ambulatory Services, LLC",12/31/2018,4,4
"090499","AS","Forsyth","Digestive Health Endoscopy Center of Kernersville","2025 Frontis Plaza Blvd., Suite 200","Winston-Salem","NC","27103-","(336)768-6211","AS0144","Digestive Health Specialists, P.A.",12/31/2018,0,2
"080260","AS","Cumberland","Digestive Health Endoscopy Center, LLC","P.O. Box 87388","Fayetteville","NC","28304-","(910)323-2477","AS0123","Digestive Health Endoscopy Center, LLC",12/31/2018,0,2
"070435","AS","Forsyth","Digestive Health Specialists, P.A.","2025 Frontis Plaza Blvd.","Winston-Salem","NC","27103-","(336)768-6211","AS0099","Digestive Health Specialists, P.A.",12/31/2018,0,2
"090498","AS","Davidson","Digestive Health Specialists, PA","2025 Frontis Plaza, Suite 200","Winston-Salem","NC","27103-","(336)768-6211","AS0146","Digestive Health Specialists, PA",12/31/2018,0,2
"100770","AS","Davie","Digestive Health Specialists, PA","2025 Frontis Plaza","Winston-Salem","NC","27103-","(336)768-6211","AS0139","Digestive Health Specialists, P.A.",12/31/2018,0,1
"080038","AS","Wake","Duke GI at Brier Creek","10207 Cerny Street","Raleigh","NC","27617-","(919)405-2341","AS0115","Private Diagnostic Clinic, PLLC",12/31/2018,0,4
"061151","AS","Guilford","Eagle Endoscopy Center","1002 North Church Street, Suite 2","Greensboro","NC","27401-","(336)268-3880","AS0075","Eagle Physicians and Associates, P.A.",12/31/2018,0,4
"070466","AS","Pitt","East Carolina Endoscopy Center","521-C Moye Blvd","Greenville","NC","27834-","(252)816-0830","AS0119","Moye Medical Endoscopy Center, LLC",12/31/2018,0,2
"061413","AS","Onslow","East Carolina Gastroenterology Endoscopy Center","P.O. Box 12094","Jacksonville","NC","28546-","(910)353-6158","AS0079","East Gastorenterology Endoscopy Center PA",12/31/2018,0,1
"923475","AS","Wilson","Eastern Regional Surgical Center","1709 Medical Park Drive","Wilson","NC","27893","(252)237-5649","AS0005","Surgery Center of Wilson, LLC",12/31/2018,4,0
"070460","AS","New Hanover","Endoscopy Center NHRMC Physician Group","1515 Doctors Circle","Wimington","NC","28401-","(910)763-1219","AS0100","Carolina Healthcare Associates, Inc.",12/31/2018,0,2
"061455","AS","Mecklenburg","Endoscopy Center of Lake Norman","16525 Hollycrest Lane","Huntersville","NC","28078-","(704)602-6590","AS0084","Endoscopy Center of Lake Norman, LLC",12/31/2018,0,2
"943164","AS","Cabarrus","Eye Surgery And Laser Clinic, Inc","201 Le Phillip Ct., NE","Concord","NC","28025","(704)782-1127","AS0019","Eye Surgery And Laser Clinic, Inc",12/31/2018,2,0
"943165","AS","Cleveland","Eye Surgery Center of Shelby","1622 E. Marion Street","Shelby","NC","28150","(704)482-2020","AS0049","Morganton Eye Physicians, P.A.",12/31/2018,2,0
"943168","AS","Cumberland","Fayetteville Ambulatory Surgery Center","1781 Metromedical Drive","Fayetteville","NC","28304","(910)323-1647","AS0006","Fayetteville Ambulatory Surgery Center, Ltd Partnership",12/31/2018,11,3
"060468","AS","Cumberland","Fayetteville Gastroenterology Endoscopy Center, LLC","2041 Valley Gate Drive","Fayetteville","NC","28304-","(910)323-5203","AS0071","Fayetteville Gastroentrology Endoscopy  Center, LLC",12/31/2018,0,4
"080444","AS","Wake","GastroIntestinal Healthcare, PA","2011 Falls Valley Drive, Suite 106","Raleigh","NC","27615-","(919)870-1311","AS0116","GastroIntestinal Healthcare, PA",12/31/2018,0,2
