FID,STYPE,FCOUNTY,FACILITY,FADDR1,FCITY,FSTATE,FZIP,FPHONE,LICNO,LICENSEE,EXPIRES
"922924","CRP","Ashe","AMH Cardiac Pulmonary Rehabilitation Program","200 Hospital Drive","Jefferson","NC","28640","(336)846-0744","CRP0059","Ashe Memorial Hospital, Inc.",12/31/2018
"090211","CRP","Macon","Angel Medical Center Cardiopulmonary Rehab. Program","P O Box 1209","Franklin","NC","28744-","(828)369-4232","CRP0113","Angel Medical Center",12/31/2018
"952939","CRP","Rockingham","Annie Penn Hospital CRP","618 S Main St","Reidsville","NC","27320","(336)951-4837","CRP0037","The Moses H. Cone Memorial Hospital",12/31/2018
"923532","CRP","Watauga","Appalachian Cardiopulmonary Rehabilitation Program","232 Boone Hgts Drive","Boone","NC","28607-","(828)268-9054","CRP0044","Watauga Medical Center/Appalachian State University",12/31/2018
"061118","CRP","Harnett","Betsy Johnson Reg. Hosp. Cardiac Rehab. Program","800 Tilghman Drive","Dunn","NC","28335-","(910)892-1000","CRP0110","Harnett Health System, Inc",12/31/2018
"051165","CRP","Avery","Cannon  Memorial Hospital Cardiopulmonary Rehab. Prog.","P.O. Box 767","Linville","NC","28646-","(828)737-7069","CRP0106","Charles A. Cannon, Jr. Memorial Hospital",12/31/2018
"933240","CRP","Cumberland","Cape Fear Valley Health System Cardiac Rehabilitation","P O Box 2000","Fayetteville","NC","28314-2000","(910)615-6580","CRP0048","Cape Fear Valley Health Systems",12/31/2018
"971045","CRP","Bladen","Cape Fear Valley-Bladen  Cardiac Rehabilitation","P.O. Box 398","Elizabethtown","NC","28337-","(910)862-5179","CRP0078","Bladen Healthcare, LLC",12/31/2018
"923564","CRP","New Hanover","Cardiac Rehab Program of the Coastal Heart Center","P O Box 9000","Wilmington","NC","28401-9000","(910)662-9901","CRP0018","New Hanover Regional Medical Center",12/31/2018
"980276","CRP","Columbus","Cardiac Rehabilitation Program","500 Jefferson Street","Whiteville","NC","28472-","(910)642-9654","CRP0087","Columbus Regional Healthcare System",12/31/2018
"960310","CRP","Rutherford","Cardiac and Pulmonary Rehab. Rutherford Reg. Med. Ctr","288 S. Ridgecrest Street","Rutherfordton","NC","28139-","(828)286-5053","CRP0074","DLP Rutherford Regional Health System, LLC",12/31/2018
"160330","CRP","Dare","Cardio Pulmonary Rehab Center","4800 South Croatan Hwy","Nags Head","NC","27959-","(252)449-4511","CRP0120","The  Outer Banks Hospital, Inc",12/31/2018
"923144","CRP","Pitt","Cardiovascular & Pulmonary Rehabilitation","P O Box 6028","Greenville","NC","27835-6028","(252)847-5736","CRP0047","University Health Systems/Pitt County Memorial Hospital",12/31/2018
