FACILITY,FADDR1,FCITY,FSTATE,FZIP,FPHONE,FCOUNTY,STYPE,SADDR,SCITY,SSTATE,SZIP,LICENSEE,LICNO,PENDING,FID,CLOSED,TERMINATED,HCACAT,HOSCAT,NPCAT,NSGSVCS,CLINICAL,IVSV,AIDESV,SWSV,PTSV,OTSV,SPSV,SPLYSV,NSGPOOL,POOLAIDE,HHASV,HHANO,HOSNO,HPBEDS,HRBEDS,EXPIRES,JCAHO,RJCAHO,ACHC,CARF,NARRAL,ACCHC,NHCC,PPH,CHAP,OTHERA
"Academy of Alamance Home Health Agency","530 Rosenwald Street","Burlington","NC","27217-","(336)350-8169","Alamance","HC","530 Rosenwald Street","Burlington","NC","27217-","Alamance Academy, LLC","HC4711",F,"150022",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,T,F,F,F,F,F,F
"Advanced Home Care","P.O Box 18049","Greensboro","NC","27419-8049","(336)538-1194","Alamance","HC","1225 Huffman Mill Road, Suite 104","Burlington","NC","27215-","Advanced Home Care, Inc.","HC0249",F,"953855",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"347122","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Alamance Senior Care","2343 Lacy Holt Road","Graham","NC","27253-","(336)684-8102","Alamance","HC","2343 Lacy Holt Road","Graham","NC","27253-","Alamance Senior Care, Inc.","HC4591",F,"130056",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"All About You Home Care Agency","2352 S. Church Street","Burlington","NC","27215-","(910)485-7505","Alamance","HC","2352 S. Church Street","Burlington","NC","27215-","All About You Home Care Agency","HC4154",F,"100853",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Always Best Care","P. O. Box 836","Graham","NC","27253-","(336)684-8102","Alamance","HC","2260 S. Church Street; Suite 603","Burlington","NC","27215-","Loy Enterprises, Inc.","HC4431",F,"110729",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Amedisys Home Health","2929 Crouse LN","Burlington","NC","27215-8316","(336)524-0127","Alamance","HC","2929 Crouse LN; Suite F","Burlington","NC","27215-8316","Tender Loving Care Health Care Services Southeast, LLC","HC0134",F,"953986",F,F,T,F,F,T,F,T,T,T,T,T,T,F,T,T,T,"34Q7110001","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Exceptional Care Home Care","24 NW Court Square","Graham","NC","27253-","(336)270-8018","Alamance","HC","24 NW Court Square; Suite 209","Graham","NC","27253-","Exceptional Care Home Care, Inc.","HC4722",F,"150050",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Home Instead Senior Care Franchise 574","P.O. Box 1306","Burlington","NC","27216-","(336)227-8800","Alamance","HC","928 S. Main Street","Burlington","NC","27215-","ZZ Home Care, LLC","HC3351",F,"060268",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"HomeCare Providers Home Health Agency","P.O. Box 205","Burlington","NC","27216-","(336)538-8557","Alamance","HC","3025 South Church Street","Burlington","NC","27215-","Alamance Regional Medical Center","HC1745",F,"990147",F,F,T,F,T,T,F,F,T,T,T,T,T,F,F,F,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"Hospice and Palliative Care Center of Alamance Caswell","914 Chapel Hill Road","Burlington","NC","27215-","(336)532-0100","Alamance","HC","914 Chapel Hill Road","Burlington","NC","27215-","Hospice of Alamance  Caswell Foundation, Inc.","HC0361",F,"953859",F,F,T,T,F,T,T,T,T,T,T,T,T,F,F,F,T,"347123","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Medisolutions, Inc.","100 North Church Street Suite B","Burlington","NC","27217-","(919)454-7725","Alamance","HC","100 North Church Street Suite B","Burlington","NC","27217-","Medisolutions, Inc.","HC4138",F,"100741",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Options For Senior America","215 Alamance Road","Burlington","NC","27215-","(336)270-6647","Alamance","HC","215 Alamance Road","Burlington","NC","27215-","Triad Family Care Services, Inc.","HC3932",F,"090887",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Premier Home Health Care Services, Inc.","445 Hamilton Avenue, 10th Floor","White Plains","NY","10601-","(336)586-1721","Alamance","HC","562 Huffman Mill Road","Burlington","NC","27215-","Premier Home Health Care Services, Inc.","HC1035",F,"924225",F,F,T,F,T,T,F,T,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
